Add_1-volume,Add_3-volume,Add_5-volume,Add_7-volume,Add_8-volume,HeatChillToTemp_10-temp,Add_11-volume,Add_13-volume,Stir_15-time,Add_17-volume,Stir_19-time
0.2,0.0,0.0,0.0,5.0,22.0,0.36,0.3,7200.0,2.0,300.0
0.0,0.24,0.0,0.0,5.0,22.0,0.36,0.3,7200.0,2.0,300.0
0.0,0.0,0.16,0.0,5.0,22.0,0.36,0.3,7200.0,2.0,300.0
0.0,0.0,0.0,0.3,5.0,22.0,0.36,0.3,7200.0,2.0,300.0
